LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2020-07-30 03:38:25,1900-01-00 00:00:00,,70:4F:57:1F:74:0F,-54, ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:25,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:25,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:25,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:25,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:26,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:26,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:26,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:26,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:26,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:26,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:27,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:27,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:27,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:27,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:27,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:28,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:28,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:28,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:29,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:29,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:29,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:30,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:30,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:30,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:30,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-07-30 03:38:31,1900-01-00 00:00:00,maison noire - 2.4G,70:4F:57:1F:74:0F,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
